
---------------------------------------------------------------------------------------------------------


				CAPTIONS (DIALOGUE) MAP


---------------------------------------------------------------------------------------------------------
	   #	DESCRIPTION
	 924	Narshe NPC (pre-IMTRF; post=929)
	 925	Narshe NPC (post-IMTRF; pre=920)
	 926	Narshe NPC (post-IMTRF; pre=921)
	 927	Narshe NPC (post-IMTRF; pre=922)
	 928	Narshe NPC (post-IMTRF; pre=923)
	 929	Narshe NPC (post-IMTRF; pre=924)
	 932	See chocobo controls? (shared caption)
	1031	Jidoor NPC (outside Auction House), WoB (w/ Celes; other lines are 2622 and 2678)
	1034	Jidoor NPC (behind Owzer's Mansion), WoB
	1036	-
	1038	Auction House NPC; Owzer's Butler (w/out Celes)
	1039	Auction House NPC (if you have not seen the Edgar/Sabin scene)
	1059	-
	1061	Zozo Lube Merchant, after buying lube (or before pigeon)
	1062	Zozo Lube Merchant, selling lube (calls 1061 first)
	1092	Shadow @ Ramuh's Room (unassigned for some reason)
	1153	-
	1155	Jidoor NPCs (includes Owzer's butler), WoB (w/ Celes)
	1198	Celes @ Opera House (only if you saw Locke's cutscene)
	1199	Celes @ Opera House (only if you saw Locke's cutscene)
	1235	-
	1240	Ultros, pushing 4T weight (first attempt)
	1241	Ultros, pushing 4T weight (subsequent attempts)
	1310	Setzer after banquet, before scene w/ Cid
	1311	Setzer after banquet, after scene w/ Cid
	1318	Blackjack helm, Goto FC? (FC is default option; recommend changing)
	1319	"Change party?" on airships (default is no; recommend changing to be consistent w/ #901)
	1320	-
	1411	-
	1421	-
	1531	-
	1532	-
	1533	-
	1534	-
	1535	-
	1627	-
	1628	-
	1629	-
	1651	-
	1652	-
	1654	-
	1660	-
	1661	-
	1667	-
	1669	-
	1671	-
	1693	Inviz Edge get (Grand Plaza)
	1694	-
	1695	-
	1696	-
	1697	-
	1698	-
	1699	Water Skean get (Grand Plaza)
	1700	-
	1745	Relic info (shared caption; see #183/#605)
	1747	Save point info (shared caption; see #9/#601)
	1748	(Long pause; used for Game Over screen)
	1756	Pearl Lance get (added via event after defeating White Dragon)
	2119	-
	2167	Cid w/ Celes @ Solitary Isle (line is called twice in a row)
	2345	-
	2360	-
	2424	Colosseum dude, WoR (50% chance of being called)
	2425	Colosseum dude, WoR (50% chance of being called)
	2487	<C> QSSI / <C> WEHT (line is used, but identical to #2490; recommend merging)
	2489	<C> ERAU / <C> QSSI (line is used, but identical to #2496; recommend merging)
	2490	<C> QSSI / <C> WEHT (line is used, but identical to #2487; recommend merging)
	2492	<C> DLRO / <C> QSSI (line is used, but identical to #2497; recommend merging)
	2495	<C> DLRO / <C> ERAU (line is used, but identical to #2498; recommend merging)
	2496	<C> ERAU / <C> QSSI (line is used, but identical to #2489; recommend merging)
	2497	<C> DLRO / <C> QSSI (line is used, but identical to #2492; recommend merging)
	2498	<C> DLRO / <C> ERAU (line is used, but identical to #2495; recommend merging)
	2499	THE WORLD IS SQUARE (line is called twice in a row)
	2622	Jidoor NPC (outside Auction House), WoR
	2623	-
	2645	-
	2648	-
	2678	Jidoor NPC (outside Auction House), WoB
	2688	Gestahl's portrait 1
	2692	Jidoor NPC (behind Owzer's Mansion), WoR
	2697	-
	2703	Gestahl's portrait 2 (duplicate line; recommend merging w/ 2688)
	2715	-
	2721	-
	2723	-
	2748	-
	2749	-
	2750	-
	2751	-
	2752	-
	2819	Locke @ Jidoor (Gau scene; requires showing letter to old man)
	2824	-
	2958	Ride a chocobo: 80GP (Bug: Nikeah stable calls this line, but charges 150GP)
	2959	Ride a chocobo: 150GP (see above)
	3017	-

---------------------------------------------------------------------------------------------------------

	I'm afraid that's all we know, gentlemen.
